  0.0000000E+00 it           0 (-0.829719837512334,-1.05092845722029)
  5.3452484E-02 it           0 (-0.829719837512334,-1.05092845722029)
  5.3452484E-02 it           0 (-0.829719837512334,-1.05092845722029)
  0.1729759     it           0 (1.22986060762822,-0.842026561850282)
  0.1729759     it           0 (-0.283689956904016,0.583794998945669)
  0.2264284     it           0 (-0.764465638983977,1.32549657960828)
  0.2264284     it           0 (-0.242081926308539,-0.153455506348094)
  0.2798809     it           0 (-0.246502292672631,-0.156099499264853)
  0.2798809     it           0 (-0.110750180582478,-0.454674299834952)
  0.4402383     it           0 (0.502671193160655,0.186399424618948)
  0.4402383     it           0 (0.240841715042779,1.74676233273646)
  0.4936908     it           0 (-3.181462654209272E-002,-8.114419771326209E-003)
  0.4936908     it           0 (7.119999554100415E-002,-0.143230049837521)
  0.5471433     it           0 (3.818585071060418E-002,-0.410447793007152)
  0.5471433     it           0 (-6.502650444898286E-002,-0.372722233768786)
  0.6666667     it           0 (-0.445669557098696,-0.615325370659337)
  0.6666667     it           0 (-0.452213632656929,-0.621071076633510)
  0.7201192     it           0 (-0.543784361636324,-0.654901923692001)
  0.7201192     it           0 (7.617063344495595E-002,-0.624864933304263)
  0.7735716     it           0 (6.137379318873984E-002,2.20709273738847)
  0.7735716     it           0 (-0.126760857709263,0.859815741889926)
  0.8930950     it           0 (0.555572661092334,0.409321115409603)
  0.8930950     it           0 (0.526927128081184,0.342564238345770)
  0.9465475     it           0 (1.21274482291489,0.926905602377679)
  0.9465475     it           0 (4.046430184873467E-002,-0.329087287653355)
   1.000000     it           0 (9.240976097776531E-002,0.829194168892588)
 
  0.0000000E+00 it           0 (0.391319077190835,-0.905771063286276)
  5.3452484E-02 it           0 (0.391319077190835,-0.905771063286276)
  5.3452484E-02 it           0 (0.391319077190835,-0.905771063286276)
  0.1729759     it           0 (9.583745049500381E-002,-0.426737965413146)
  0.1729759     it           0 (-1.00432785085797,0.756585303051431)
  0.2264284     it           0 (-0.209140477762001,-3.675053845484699E-002)
  0.2264284     it           0 (-7.534504711647190E-003,-1.88110558088730)
  0.2798809     it           0 (-1.358066351345683E-002,-1.88513097899766)
  0.2798809     it           0 (-0.174378358075658,-0.436088418117195)
  0.4402383     it           0 (0.751200641359182,0.667239276852031)
  0.4402383     it           0 (-0.733279533786195,0.310209436374730)
  0.4936908     it           0 (-0.268323105141530,7.149136062585382E-003)
  0.4936908     it           0 (-2.625961710777247E-002,0.313381636199000)
  0.5471433     it           0 (-0.108909671279708,-6.470236681737807E-002)
  0.5471433     it           0 (-0.266830915211616,-5.935080625853573E-003)
  0.6666667     it           0 (0.707225453174839,1.04058342123153)
  0.6666667     it           0 (0.713819403928319,1.04109305392364)
  0.7201192     it           0 (0.627510201720890,1.03511077242297)
  0.7201192     it           0 (7.780693182162995E-002,-0.619199231811062)
  0.7735716     it           0 (-1.740584067392813E-002,0.389105303697310)
  0.7735716     it           0 (-0.115621499165886,1.03088388637605)
  0.8930950     it           0 (-1.09460847725004,-0.808523994604796)
  0.8930950     it           0 (-1.09084429364927,-0.770188023741583)
  0.9465475     it           0 (-0.216917343514732,-8.724042147225769E-002)
  0.9465475     it           0 (2.078522782358585E-002,8.217820307503498E-002)
   1.000000     it           0 (9.602927425719548E-002,1.46623274991157)
 
  0.0000000E+00 it           0 (-0.539938227366858,0.363669581193902)
  5.3452484E-02 it           0 (-0.539938227366858,0.363669581193902)
  5.3452484E-02 it           0 (-0.539938227366858,0.363669581193902)
  0.1729759     it           0 (6.865346215173429E-002,1.19638650119268)
  0.1729759     it           0 (0.622548901287823,0.314812916475785)
  0.2264284     it           0 (0.403466364364253,-0.709175825805220)
  0.2264284     it           0 (-0.262251342435094,0.790531687766507)
  0.2798809     it           0 (-0.266671708799248,0.787887694849617)
  0.2798809     it           0 (4.724096767031806E-002,-1.13377883163579)
  0.4402383     it           0 (-0.314836192427039,-1.16815770551867)
  0.4402383     it           0 (1.792497917166863E-002,0.315084786828634)
  0.4936908     it           0 (0.831368992298280,2.03250060266103)
  0.4936908     it           0 (0.370810080033902,-1.38719269146870)
  0.5471433     it           0 (0.263351470076164,-1.83912539118676)
  0.5471433     it           0 (0.123752326960044,-1.77960517304845)
  0.6666667     it           0 (0.396503827596766,0.410555882327148)
  0.6666667     it           0 (0.389959752038517,0.404810176352974)
  0.7201192     it           0 (0.622131919191544,0.443149930338722)
  0.7201192     it           0 (0.129314342422603,1.65890858871345)
  0.7735716     it           0 (1.399506878137124E-002,5.566904627457353E-002)
  0.7735716     it           0 (-0.163374567093430,-1.25591130540409)
  0.8930950     it           0 (-0.542876966673309,-0.430962328482988)
  0.8930950     it           0 (-0.520635953905233,-0.354814638123872)
  0.9465475     it           0 (0.114295195149217,8.662215848507393E-002)
  0.9465475     it           0 (-5.117982471100493E-002,-1.73089731916846)
   1.000000     it           0 (4.567464547709443E-002,-0.597013591461517)
 
  0.0000000E+00 it           0 (-0.288535792130143,1.993740257151659E-002)
  5.3452484E-02 it           0 (-0.288535792130143,1.993740257151659E-002)
  5.3452484E-02 it           0 (-0.288535792130143,1.993740257151659E-002)
  0.1729759     it           0 (-0.389809027623007,-1.30614554756405)
  0.1729759     it           0 (0.176195759118856,3.969024469126289E-002)
  0.2264284     it           0 (5.927543031363644E-002,1.01242190959372)
  0.2264284     it           0 (0.628717829512868,0.297188784938237)
  0.2798809     it           0 (0.628575034261043,0.298555615645683)
  0.2798809     it           0 (-0.263003769711491,-6.248352040480024E-003)
  0.4402383     it           0 (0.479525004479052,0.947161618794166)
  0.4402383     it           0 (0.562831574799375,0.480645031382763)
  0.4936908     it           0 (9.155380782483709E-002,-0.741124071311931)
  0.4936908     it           0 (-0.502536389385618,-0.443490951881054)
  0.5471433     it           0 (-0.281093054392390,1.27189939390392)
  0.5471433     it           0 (2.372324835983829E-002,0.622680463534204)
  0.6666667     it           0 (0.346312946963553,0.148358021389471)
  0.6666667     it           0 (-0.401634044128875,-7.093444029684551E-002)
  0.7201192     it           0 (0.416671320189628,0.145934503895339)
  0.7201192     it           0 (3.535333796992571E-002,-0.358011210200750)
  0.7735716     it           0 (-0.326907332012227,8.253651410562027E-002)
  0.7735716     it           0 (-1.03880549767659,0.570207276909625)
  0.8930950     it           0 (-1.44982585405771,0.140129660037722)
  0.8930950     it           0 (0.792137603956783,0.453171399145458)
  0.9465475     it           0 (0.282245391762065,0.270697360722047)
  0.9465475     it           0 (4.078505152927685E-002,-0.611155995890075)
   1.000000     it           0 (-0.628091215171256,1.40161160338485)
 
  0.0000000E+00 it           0 (1.00634806725123,-2.469446854133330E-002)
  5.3452484E-02 it           0 (1.00634806725123,-2.469446854133330E-002)
  5.3452484E-02 it           0 (1.00634806725123,-2.469446854133330E-002)
