 #  energy  xx  yy  zz  sp  sm
         4.1917         0.0041         0.0000         0.0000         0.0021         0.0021
         4.1917         0.0041         0.0000         0.0000         0.0021         0.0021
         4.1917         0.0041         0.0000         0.0000         0.0021         0.0021
         5.2718         0.0208         0.0211         0.0000         0.0211         0.0209
         5.2718         0.0208         0.0211         0.0000         0.0211         0.0209
         5.2718         0.0208         0.0211         0.0000         0.0211         0.0209
         5.2718         0.0128         0.0138         0.0000         0.0133         0.0133
         5.2718         0.0128         0.0138         0.0000         0.0133         0.0133
         5.2718         0.0128         0.0138         0.0000         0.0133         0.0133
         5.2718         0.0192         0.0187         0.0000         0.0191         0.0188
         5.2718         0.0192         0.0187         0.0000         0.0191         0.0188
         5.2718         0.0192         0.0187         0.0000         0.0191         0.0188
         5.2718         0.0002         0.0000         0.0000         0.0001         0.0001
         5.2718         0.0002         0.0000         0.0000         0.0001         0.0001
         5.2718         0.0002         0.0000         0.0000         0.0001         0.0001
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0013         0.0000         0.0000         0.0007         0.0007
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
         5.4278         0.0000         0.0000         0.0000         0.0000         0.0000
