     Re(A^λ_cvkq)     Im(A^λ_cvkq)i2 dim_b       c       v       k   Q idx   E(eV)
 -0.111648908724763       0.977215447786643                1           7
           6           1           1  0.382452312389777     
  4.393679276507298E-004 -2.760733436713788E-004           1           7
           6           2           1  0.684757986052458     
 -7.860132885374300E-004 -4.528875948871981E-004           1           7
           6           3           1  0.696571684593768     
 -2.672513212591264E-004  2.682469905128028E-003           1           7
           6           4           1   1.02992635197011     
 -1.465054168225914E-003 -6.222668757824311E-004           1           7
           6           5           1   1.04384418212771     
 -1.289848550777554E-003 -2.350616700036631E-003           1           7
           6           6           1   1.19173725064752     
 -5.497276707302409E-005  4.682107167627139E-003           1           7
           6           7           1   1.20055570100423     
  6.576846606342169E-004 -9.916652834885747E-005           1           7
           6           8           1   1.20800098464584     
  4.078780980853111E-004  1.741358304940455E-004           1           7
           6           9           1   1.20974422848578     
 -4.401110050741908E-003 -4.788865866727991E-003           1           7
           6          10           1   1.23780515030780     
 -3.212795390962535E-005  5.469323272546821E-004           1           7
           6          11           1   1.23894158924666     
 -1.522711555724896E-004  1.120983172928540E-004           1           7
           6          12           1   1.24197926835618     
 -5.297469132457149E-004  5.527153794877528E-004           1           7
           6          13           1   1.25070727217581     
 -1.645917540390768E-002  0.178677574138877                1           7
           6          14           1   1.39328473497427     
  6.674236702732666E-004 -1.186236338665486E-003           1           7
           6          15           1   1.40665928013907     
 -1.280167330573154E-003  1.408590559660423E-003           1           7
           6          16           1   1.93939382791921     
 -4.370171050739677E-003  3.295881600930374E-004           1           7
           6          17           1   1.94379382543375     
 -1.063858063900629E-003 -7.235410430192640E-004           1           7
           6          18           1   1.94481532323661     
 -2.048713444048922E-004  1.096203589314785E-004           1           7
           6          19           1   1.94601587679187     
 -6.349958503296766E-004  9.869092813756029E-005           1           7
           6          20           1   1.94766205349176     
 -4.217371327619378E-004  2.519935765317945E-004           1           7
           6          21           1   1.95256804043588     
 -1.119707844105997E-004 -1.940634279631092E-003           1           7
           6          22           1   2.58748359005159     
 -1.266071669481772E-002  1.288687017862699E-003           1           7
           6          23           1   2.59205676903484     
  5.308686173729532E-004  4.639800844992133E-004           1           7
           6          24           1   2.59220162507172     
  3.621114685856959E-005 -5.823382264478078E-004           1           7
           6          25           1   2.59497103860956     
  5.321620858763279E-003  5.109875286527826E-003           1           7
           6          26           1   2.59606785103747     
 -7.482735461194748E-003  0.000000000000000E+000           1           7
           6          27           1   2.59995533487911     
  0.401953174234283       0.531944803402636                1           7
           6           1           2  0.519256158584475     
  2.564074955805333E-002 -6.231249737751875E-002           1           7
           6           2           2  0.657682032893288     
 -1.060567763282442E-002 -8.390749715834773E-003           1           7
           6           3           2  0.769231978793559     
 -5.102010599963833E-002 -5.257543536221196E-002           1           7
           6           4           2  0.852417334955942     
  1.533658163444427E-003 -2.458747714944897E-003           1           7
           6           5           2  0.913248172671456     
  9.787221806708184E-004 -4.503771022805976E-003           1           7
           6           6           2  0.948247533018480     
  2.232556303525132E-002 -7.425939114294911E-004           1           7
           6           7           2   1.00475762734491     
  8.002899945008846E-003 -2.418737474405866E-002           1           7
           6           8           2   1.06882334168002     
 -2.347500163459685E-003  5.718802762419387E-003           1           7
           6           9           2   1.11489281406887     
 -3.442651695798843E-002  1.726322722831394E-003           1           7
           6          10           2   1.16333145422453     
  4.531949055926743E-003 -4.469288760478047E-004           1           7
           6          11           2   1.20368311651785     
  1.229760324620832E-002 -8.633593217193695E-003           1           7
           6          12           2   1.23272635888738     
 -2.136764232717921E-004 -5.433366738299424E-003           1           7
           6          13           2   1.23971395869684     
 -0.383022909613801       5.359331211355801E-002           1           7
           6          14           2   1.28962729745138     
  7.719851279416048E-002  3.835149126376602E-003           1           7
           6          15           2   1.51059349170268     
 -2.310310857543538E-002  2.261070670223986E-003           1           7
           6          16           2   1.56485894927465     
  2.949600367851780E-002  8.199873450104127E-002           1           7
           6          17           2   1.63442966189799     
 -1.642120485040745E-002  3.304261338040147E-002           1           7
           6          18           2   1.78662592661585     
 -1.201686808807671E-002  0.101083216620137                1           7
           6          19           2   1.86093914442000     
  1.702938525179377E-003  9.716776688339299E-003           1           7
           6          20           2   1.89611994826927     
  7.376569947990649E-004  1.240038318741627E-003           1           7
           6          21           2   1.95928240785710     
 -1.078705606956804E-003 -9.157934574055976E-004           1           7
           6          22           2   2.21972396917080     
  3.281592383736478E-003 -5.879072750760680E-002           1           7
           6          23           2   2.30456610604188     
  2.940684618468938E-003  2.564587600518319E-002           1           7
           6          24           2   2.40818502867158     
 -7.931777894886943E-003 -6.989490063809426E-004           1           7
           6          25           2   2.48851362942497     
  3.287727013651898E-002  1.128571100733267E-002           1           7
           6          26           2   2.49156918723523     
 -0.601482978844463       0.000000000000000E+000           1           7
           6          27           2   2.58988537110482     
 -2.989681211617128E-002 -2.807337522800274E-002           1           7
           6           1           3  0.410446616371768     
  2.597338908254383E-002  0.142312076026317                1           7
           6           2           3  0.429563251952862     
 -1.261574314922618E-002  2.019256117940080E-004           1           7
           6           3           3  0.449677381244043     
  3.684970247790065E-003  1.263782386509620E-004           1           7
           6           4           3  0.546262592389957     
  1.376057926839411E-003  3.867316797345045E-004           1           7
           6           5           3  0.556147547345236     
  2.107292288410886E-002  6.484646960554222E-002           1           7
           6           6           3  0.569331987070752     
  7.091117039632934E-002  0.234943083878737                1           7
           6           7           3  0.622083750139080     
 -1.854254337103441E-003  1.454496647400702E-003           1           7
           6           8           3  0.646782758327310     
 -8.398051168610605E-004  3.378960845325137E-004           1           7
           6           9           3  0.725992789699635     
