  0.0000000E+00 it           0 (8.960694088487788E-003,0.938324218125659)
  7.0623815E-02 it           0 (1.06810209161176,1.20971801229276)
  0.1412476     it           0 (-3.359596902132940E-002,0.557041358772448)
  0.2118714     it           0 (-0.484188332889291,-0.232191119188754)
  0.2824953     it           0 (-0.678962297737068,-1.32514249630507)
  0.3531191     it           0 (-0.651481215083342,0.449356328919222)
  0.4237429     it           0 (0.861773780696846,-0.560794073792511)
  0.4943667     it           0 (-0.191768874876172,1.10254791990094)
  0.4943667     it           0 (-0.155148073915354,-0.451528397747397)
  0.5666000     it           0 (-0.123704947588991,-1.45893611667250)
  0.6388333     it           0 (0.926180585011465,7.978820119291898E-002)
  0.7110667     it           0 (-0.209323149146522,9.173832371171781E-002)
  0.7833000     it           0 (2.742778617379064E-002,-0.385381108952032)
  0.8555334     it           0 (0.198512055167698,-0.364269691079769)
  0.9277667     it           0 (-1.08994285656021,5.947071313557981E-002)
   1.000000     it           0 (8.960694088487788E-003,0.938324218125659)
 
  0.0000000E+00 it           0 (0.253705713138483,-0.478450250823172)
  7.0623815E-02 it           0 (0.454104648116420,-1.51736587635126)
  0.1412476     it           0 (-0.140740368479491,-0.832159371794663)
  0.2118714     it           0 (0.470467355238332,-0.718182435348976)
  0.2824953     it           0 (-0.595020391802473,1.12481733120859)
  0.3531191     it           0 (0.735858531671059,0.820894762248487)
  0.4237429     it           0 (-0.827387406723095,-0.918627806608134)
  0.4943667     it           0 (-9.053115229936667E-002,1.31625095244601)
  0.4943667     it           0 (0.259827313125186,0.818658576205404)
  0.5666000     it           0 (0.660725745762813,-0.974549940856592)
  0.6388333     it           0 (0.922490729753831,0.427516941411534)
  0.7110667     it           0 (0.394181735649342,-0.438657410680063)
  0.7833000     it           0 (-1.16461393610711,0.702044717958379)
  0.8555334     it           0 (0.617449954601306,0.661430692981598)
  0.9277667     it           0 (2.02317250591791,1.38487350619186)
   1.000000     it           0 (0.253705713138483,-0.478450250823172)
 
  0.0000000E+00 it           0 (-0.370590106409086,-0.436808164731691)
  7.0623815E-02 it           0 (0.200048712199342,0.671052933463591)
  0.1412476     it           0 (0.953932667504970,1.287507774846187E-002)
  0.2118714     it           0 (0.233552859676508,0.815617406407722)
  0.2824953     it           0 (-0.267694717920876,-0.664738965438363)
  0.3531191     it           0 (-0.329293944463983,-1.630883564864440E-002)
  0.4237429     it           0 (-0.369149998690007,0.758431379621741)
  0.4943667     it           0 (0.100372384971363,0.505019172337174)
  0.4943667     it           0 (1.15202414521551,0.514581168423470)
  0.5666000     it           0 (0.972185926575636,0.180908268630606)
  0.6388333     it           0 (0.603356484706561,0.957643593667825)
  0.7110667     it           0 (3.865061641073696E-002,1.02854480188785)
  0.7833000     it           0 (0.942115616574989,-0.153634929329888)
  0.8555334     it           0 (8.576859550253083E-002,0.252514488746265)
  0.9277667     it           0 (-0.429564808777632,0.618132915946143)
   1.000000     it           0 (-0.370590106409086,-0.436808164731691)
 
  0.0000000E+00 it           0 (2.097858911830823E-002,-0.485911298845249)
  7.0623815E-02 it           0 (-0.949129474946031,-0.971402681751318)
  0.1412476     it           0 (-0.469161226469586,0.150044456180731)
  0.2118714     it           0 (-1.10045442384729,0.635526095844867)
  0.2824953     it           0 (0.364055025762516,-7.940552203199273E-004)
  0.3531191     it           0 (0.777410471231467,-0.867474369937122)
  0.4237429     it           0 (1.26294261619217,-0.308751155620828)
  0.4943667     it           0 (1.40206980396265,-0.223470394102334)
  0.4943667     it           0 (0.370789114890666,0.517244470135094)
  0.5666000     it           0 (-0.664170490673168,-1.68668637487743)
  0.6388333     it           0 (0.372970704805414,0.555893693960734)
  0.7110667     it           0 (-0.342898812616989,-0.853579833771057)
  0.7833000     it           0 (-1.178400590947363E-002,0.264901631073273)
  0.8555334     it           0 (0.855651054083150,-0.580159693436698)
  0.9277667     it           0 (-0.147906294768771,1.18332619686749)
   1.000000     it           0 (2.097858911830823E-002,-0.485911298845249)
 
  0.0000000E+00 it           0 (-8.520319733982261E-002,1.74061915951457)
  7.0623815E-02 it           0 (0.164574893321795,-0.897127634094891)
  0.1412476     it           0 (1.08269218494486,-7.062436938722763E-003)
  0.2118714     it           0 (0.220746395359631,1.48518357862785)
  0.2824953     it           0 (1.09790152837309,0.344461828796119)
  0.3531191     it           0 (-1.04118728909837,0.376920005982924)
  0.4237429     it           0 (-0.247334397823998,1.00630860833010)
  0.4943667     it           0 (0.610427903457036,-2.119400789115757E-002)
  0.4943667     it           0 (-0.638349540214978,-1.12353728223996)
  0.5666000     it           0 (0.916388297241822,-0.549831554559811)
  0.6388333     it           0 (-0.347707984433940,4.416714343763535E-002)
  0.7110667     it           0 (0.127582157535887,0.108630664638670)
  0.7833000     it           0 (-0.924496322320469,0.385331616560793)
  0.8555334     it           0 (0.783281477750865,-0.470662415959717)
  0.9277667     it           0 (-0.622468707493284,-0.493412173216120)
   1.000000     it           0 (-8.520319733982261E-002,1.74061915951457)
 
  0.0000000E+00 it           0 (0.488015055333406,-0.141329073269546)
  7.0623815E-02 it           0 (-0.152719237067222,0.680407475481623)
  0.1412476     it           0 (-0.654500324108424,-0.901621598608696)
  0.2118714     it           0 (-2.531976360827522E-002,-0.731508060784699)
  0.2824953     it           0 (0.224238405545429,0.850992282707858)
  0.3531191     it           0 (-0.702738209697773,-0.994576409461395)
  0.4237429     it           0 (-0.861030348658266,0.633177230255058)
  0.4943667     it           0 (-9.906786805227659E-002,3.903512084727234E-002)
  0.4943667     it           0 (1.41046771748844,0.659268327978721)
  0.5666000     it           0 (-2.128530325694442E-002,0.138873809675448)
  0.6388333     it           0 (-1.23334920825510,-0.658199565140861)
  0.7110667     it           0 (-0.129875272262242,-0.587181969337674)
  0.7833000     it           0 (-1.16801846532818,-1.592564140168517E-002)
  0.8555334     it           0 (0.807505003095400,-0.268693527584950)
  0.9277667     it           0 (-1.12034022361889,-0.136300342436004)
   1.000000     it           0 (0.488015055333406,-0.141329073269546)
 
  0.0000000E+00 it           0 (-0.203198657333085,0.901037054281841)
  7.0623815E-02 it           0 (-0.314664417775447,0.796729432732793)
  0.1412476     it           0 (-0.377110532377165,0.202525153473911)
  0.2118714     it           0 (0.393178681315773,0.643757393354790)
  0.2824953     it           0 (-0.237888542277429,1.20870105652214)
  0.3531191     it           0 (0.214429428962561,-1.43748892420102)
  0.4237429     it           0 (-0.899283193792198,0.134775468915031)
  0.4943667     it           0 (-0.429516564916217,0.664938190373336)
