 #  energy  xx  yy  zz  sp  sm
         3.4609         1.2159         0.5264         0.0000         1.6687         0.0736
         3.4609         0.6983         0.9897         0.0000         0.1768         1.5112
         3.4609         0.6983         0.9898         0.0000         1.5113         0.1768
         3.4609         0.7507         0.9907         0.0000         1.6676         0.0738
         3.4609         0.7506         0.9907         0.0000         0.0738         1.6675
         3.4610         0.4874         1.2028         0.0000         0.1749         1.5153
         3.4610         0.4874         1.2029         0.0000         1.5154         0.1749
         3.4611         0.8258         1.2039         0.0000         0.1294         1.9004
         3.4611         1.5028         0.5270         0.0000         0.1274         1.9024
         3.4611         0.8259         1.2040         0.0000         1.9005         0.1294
         3.4611         1.5028         0.5271         0.0000         1.9025         0.1274
         3.4707         0.4613         1.3376         0.0000         0.1312         1.6677
         3.4707         0.4613         1.3376         0.0000         1.6676         0.1312
         3.4707         0.9755         0.8258         0.0000         0.1299         1.6715
         3.4707         0.9755         0.8258         0.0000         1.6714         0.1299
         3.4708         1.5914         0.8249         0.0000         2.1417         0.2745
         3.4709         1.5913         0.8249         0.0000         0.2745         2.1417
         3.4849         0.0182         1.4526         0.0000         0.6002         0.8706
         3.4849         1.2630         0.3911         0.0000         0.9593         0.6948
         3.4849         0.0084         1.4171         0.0000         0.8208         0.6047
         3.4849         1.1391         0.3693         0.0000         0.6501         0.8584
         3.4850         0.3893         0.0875         0.0000         0.2604         0.2163
         3.4850         0.2180         0.0965         0.0000         0.1204         0.1941
         3.5259         0.0000         0.0000         0.0000         0.0001         0.0000
         3.5259         0.0000         0.0000         0.0000         0.0000         0.0001
         3.5260         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5260         0.0000         0.0000         0.0000         0.0001         0.0000
         3.5260         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5261         0.0001         0.0000         0.0000         0.0001         0.0000
         3.5261         0.6573         1.0017         0.0000         1.6040         0.0550
         3.5261         0.6573         1.0017         0.0000         0.0550         1.6041
         3.5262         0.7033         0.9546         0.0000         0.0548         1.6030
         3.5262         0.7033         0.9545         0.0000         1.6031         0.0548
         3.5262         0.4222         0.9563         0.0000         0.0555         1.3230
         3.5262         0.4223         0.9563         0.0000         1.3230         0.0555
         3.5263         1.5322         0.5941         0.0000         1.9520         0.1743
         3.5263         1.5321         0.5941         0.0000         0.1743         1.9519
         3.5263         1.1286         1.0014         0.0000         1.9560         0.1740
         3.5263         1.1287         1.0013         0.0000         0.1740         1.9560
         3.5265         0.7828         0.5936         0.0000         1.3209         0.0555
         3.5265         0.7828         0.5936         0.0000         0.0555         1.3209
         3.5330         0.3771         1.0767         0.0000         0.0935         1.3603
         3.5331         0.3771         1.0766         0.0000         1.3603         0.0934
         3.5332         1.0859         0.6101         0.0000         0.1478         1.5482
         3.5332         0.8388         0.6098         0.0000         0.0933         1.3553
         3.5332         0.8388         0.6098         0.0000         1.3553         0.0933
         3.5332         1.0859         0.6101         0.0000         1.5483         0.1478
         3.5705         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5705         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5706         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5707         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5708         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5709         0.0000         0.0000         0.0000         0.0000         0.0000
         3.5776         1.1863         0.9038         0.0000         0.1882         1.9020
         3.5776         1.1864         0.9039         0.0000         1.9020         0.1882
         3.5777         1.4721         0.6123         0.0000         1.8955         0.1889
         3.5777         1.4720         0.6123         0.0000         0.1889         1.8954
         3.5777         0.8088         0.6127         0.0000         0.1888         1.2327
         3.5777         0.8088         0.6127         0.0000         1.2327         0.1888
         3.5778         0.7833         1.1673         0.0000         0.0194         1.9311
         3.5778         0.7833         1.1672         0.0000         1.9311         0.0194
         3.5778         1.0415         0.9043         0.0000         0.0191         1.9267
         3.5778         1.0415         0.9043         0.0000         1.9268         0.0191
         3.5782         0.2555         1.1675         0.0000         0.1874         1.2356
         3.5782         0.2555         1.1675         0.0000         1.2356         0.1873
         3.6620         0.0197         0.9404         0.0000         0.5503         0.4097
         3.6620         0.0148         0.7628         0.0000         0.3472         0.4304
         3.6620         0.3159         0.1003         0.0000         0.1386         0.2775
         3.6620         0.6927         0.2153         0.0000         0.5590         0.3490
         3.6621         0.1016         0.1253         0.0000         0.1050         0.1219
         3.6621         0.3237         0.1849         0.0000         0.2852         0.2234
         3.6660         1.2955         0.6162         0.0000         1.5867         0.3250
         3.6660         1.2955         0.6162         0.0000         0.3250         1.5867
         3.6661         1.3316         0.5765         0.0000         1.5814         0.3266
         3.6661         1.3315         0.5765         0.0000         0.3266         1.5814
         3.6662         0.7592         0.5776         0.0000         0.2547         1.0820
         3.6662         0.7592         0.5776         0.0000         1.0820         0.2548
         3.6663         0.1739         1.1639         0.0000         0.2569         1.0809
         3.6663         0.8962         0.6155         0.0000         0.1209         1.3908
         3.6663         0.1739         1.1639         0.0000         1.0809         0.2570
         3.6663         0.8962         0.6155         0.0000         1.3907         0.1209
         3.6663         0.3496         1.1641         0.0000         0.1227         1.3909
         3.6664         0.3496         1.1641         0.0000         1.3909         0.1227
         3.6802         0.0252         0.0007         0.0000         0.0128         0.0131
         3.6802         0.0204         0.0127         0.0000         0.0024         0.0308
         3.6802         0.0054         0.0225         0.0000         0.0195         0.0084
         3.6802         0.0176         0.0023         0.0000         0.0038         0.0161
         3.6804         0.0146         0.0006         0.0000         0.0083         0.0069
         3.6804         0.0381         0.0012         0.0000         0.0146         0.0247
         3.7012         0.0000         0.0001         0.0000         0.0000         0.0001
         3.7013         0.0000         0.0001         0.0000         0.0001         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0002
         3.7014         0.0001         0.0001         0.0000         0.0000         0.0002
         3.7014         0.0001         0.0001         0.0000         0.0002         0.0000
         3.7014         0.0001         0.0001         0.0000         0.0002         0.0000
         3.7015         0.0001         0.0000         0.0000         0.0000         0.0001
         3.7015         0.0001         0.0000         0.0000         0.0001         0.0000
         3.7018         0.0001         0.0001         0.0000         0.0000         0.0001
         3.7018         0.0001         0.0000         0.0000         0.0000         0.0001
         3.7018         0.0001         0.0001         0.0000         0.0001         0.0000
         3.7018         0.0001         0.0000         0.0000         0.0001         0.0000
         3.7252         0.0017         0.0006         0.0000         0.0011         0.0011
         3.7716         0.8027         0.3355         0.0000         0.9564         0.1818
         3.7716         0.8027         0.3355         0.0000         0.1818         0.9564
         3.7718         0.1540         0.9829         0.0000         0.9565         0.1804
         3.7718         0.1540         0.9829         0.0000         0.1804         0.9565
         3.7718         1.9772         0.3361         0.0000         0.4448         1.8686
         3.7718         1.9772         0.3361         0.0000         1.8686         0.4447
         3.7718         0.5707         1.2298         0.0000         1.6896         0.1110
         3.7718         1.0902         1.2299         0.0000         1.8776         0.4425
         3.7718         0.5707         1.2297         0.0000         0.1110         1.6894
         3.7719         0.8152         0.9836         0.0000         0.1094         1.6895
         3.7719         1.0902         1.2298         0.0000         0.4425         1.8775
         3.7719         0.8153         0.9836         0.0000         1.6895         0.1094
         3.9210         0.0418         0.0001         0.0000         0.0201         0.0218
         3.9210         0.7467         2.0391         0.0000         1.4062         1.3796
         3.9210         0.6240         1.7081         0.0000         1.1537         1.1784
         3.9210         0.1394         0.0001         0.0000         0.0710         0.0685
         3.9212         0.0407         0.0521         0.0000         0.0328         0.0600
         3.9212         0.1589         0.4331         0.0000         0.4004         0.1916
         4.1062         0.0993         0.1805         0.0000         0.0661         0.2136
         4.1062         0.1534         0.4413         0.0000         0.2092         0.3855
         4.1062         0.0338         0.0020         0.0000         0.0183         0.0175
         4.1063         0.4504         0.0122         0.0000         0.2162         0.2464
         4.1063         0.0532         0.3825         0.0000         0.1802         0.2555
         4.1063         0.0287         0.3524         0.0000         0.1951         0.1860
         4.1193         0.0151         0.4915         0.0000         0.2531         0.2534
         4.1193         0.1499         0.3057         0.0000         0.4104         0.0452
         4.1193         0.1365         0.5572         0.0000         0.6200         0.0737
         4.1193         0.1052         0.4992         0.0000         0.0823         0.5222
         4.1194         0.5340         0.1021         0.0000         0.5100         0.1261
         4.1194         0.5712         0.1486         0.0000         0.0866         0.6331
