 #  energy  xx  yy  zz  sp  sm
         2.3910         3.6253         3.4560         0.0000         0.0046         7.0767
         2.3910         3.6252         3.4559         0.0000         7.0765         0.0046
         2.3911         3.3590         3.7219         0.0000         0.0047         7.0762
         2.3912         3.3586         3.7217         0.0000         7.0757         0.0047
         2.3914         3.6440         3.4547         0.0000         0.0052         7.0934
         2.3914         3.6440         3.4546         0.0000         7.0934         0.0052
         2.7278         0.0001         0.0001         0.0000         0.0000         0.0001
         2.7278         0.0001         0.0001         0.0000         0.0001         0.0000
         2.7280         0.0000         0.0001         0.0000         0.0000         0.0001
         2.7280         0.0000         0.0001         0.0000         0.0001         0.0000
         2.7285         0.0001         0.0001         0.0000         0.0002         0.0000
         2.7285         0.0001         0.0001         0.0000         0.0000         0.0002
         3.1212         0.0000         0.0001         0.0000         0.0000         0.0001
         3.1212         0.0000         0.0001         0.0000         0.0001         0.0000
         3.1213         0.0001         0.0000         0.0000         0.0000         0.0001
         3.1213         0.0001         0.0000         0.0000         0.0001         0.0000
         3.1214         0.0000         0.0000         0.0000         0.0000         0.0001
         3.1214         0.0001         0.0001         0.0000         0.0001         0.0000
         3.1215         0.0000         0.0001         0.0000         0.0001         0.0000
         3.1215         0.0000         0.0000         0.0000         0.0000         0.0001
         3.1215         0.0000         0.0001         0.0000         0.0000         0.0001
         3.1215         0.0000         0.0001         0.0000         0.0001         0.0000
         3.1216         0.0001         0.0000         0.0000         0.0000         0.0001
         3.1216         0.0001         0.0000         0.0000         0.0001         0.0000
         3.3061         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3061         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3062         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3063         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000
         3.3064         0.0000         0.0000         0.0000         0.0000         0.0000
         3.4609         1.2157         0.5264         0.0000         0.0736         1.6685
